dua_arabic,dua_label,theme
اللهم اغفر لي ذنوبي كلها واهدني إلى الصراط المستقيم,forgiveness,asking forgiveness
اللهم لك الحمد على جميع نعمك التي أنعمت بها علي,gratitude,gratitude
يا رب أعني على تجاوز الصعوبات واصرف عني الحزن,help,asking for help
اللهم ارزقني النجاح في دراستي وعملي,success,asking for something
رب ارحم والدي واحفظهما,parents,mercy
اللهم ارزقني الصبر في أوقات الشدة,patience,asking for help
الحمد لله على نعمة الصحة والعافية,health gratitude,gratitude
اللهم ارزقني رزقاً حلالاً مباركاً,rizq,asking for something
رب اغفر لي أخطائي وتقصيري,repentance,asking forgiveness
اللهم احفظني من القلق والحزن,protection,asking for help
الحمد لله لأنك دائماً معي,faith gratitude,gratitude
اللهم اجعل مستقبلي أفضل وأكثر نوراً,future,asking for something
رب زدني علماً وحكمة,knowledge,asking for something
اللهم اهد قلبي إلى السلام والإيمان,guidance,asking for help
الحمد لله على نعمة الأهل والأصدقاء,family gratitude,gratitude
اللهم اشف المرضى وخفف عنهم الألم,healing,asking for help
رب بارك لي في بيتي واجعله مليئاً بالسعادة,home,asking for something
اللهم اغفر للمؤمنين والمؤمنات وارحمهم,ummah,asking forgiveness
الحمد لله على كل يوم جديد وكل فرصة,daily gratitude,gratitude
اللهم أبعدني عن الذنوب ورفقاء السوء,protection from sin,asking for help
رب امنحني القوة لتجاوز التحديات,strength,asking for help
اللهم ساعدني على تحقيق أحلامي بالحلال,dreams,asking for something
رب تقبل مني دعائي وعبادتي,worship,asking for something
اللهم اجعلني من الصالحين,righteousness,asking for help
الحمد لله على رحمتك ومغفرتك الواسعة,mercy gratitude,gratitude
اللهم اغفر لوالدي وارزقهما الجنة,parents forgiveness,asking forgiveness
رب ارزقني الصحة والعمر الطويل,health,asking for something
اللهم أزل الخوف من قلبي واملأه بالطمأنينة,peace,asking for help
الحمد لله الذي هداني إليك,guidance gratitude,gratitude
اللهم أعني على الصبر والشكر في كل الأحوال,patience gratitude,asking for help
